event_id,artist_name,main_stage,start_time,vip_price
1,Neon Wolves,Main Stage,2025-04-15 20:00,299.99
2,Luna Eclipse,Main Stage,2025-04-15 22:30,349.99
3,Digital Phoenix,Main Stage,2025-04-16 21:00,329.99
4,Crystal Storm,Main Stage,2025-04-16 19:30,289.99
5,Sonic Architect,Desert Pavilion,2025-04-15 18:00,199.99
6,Aurora Waves,Desert Pavilion,2025-04-15 23:30,219.99
7,Prism Collective,Garden Stage,2025-04-16 17:00,179.99
8,Velvet Dreams,Garden Stage,2025-04-16 20:00,249.99
9,Midnight Fire,Main Stage,2025-04-17 21:30,379.99
10,Ember Soul,Main Stage,2025-04-17 19:00,309.99
11,Circuit Rider,Desert Pavilion,2025-04-17 22:00,239.99
12,Cosmic Drift,Garden Stage,2025-04-17 18:30,259.99
13,Electric Honey,Valley Tent,2025-04-15 19:30,159.99
14,Shadow Bloom,Valley Tent,2025-04-16 18:00,169.99
15,Bass Prophet,Desert Pavilion,2025-04-16 23:00,229.99
