show_id,dj_performer,venue_section,time_block,admission_cost
101,Voltage Master,Main Arena,2025-05-20 22:00-23:30,89.50
102,Neon Storm,Circuit Zone,2025-05-20 23:30-01:00,94.75
103,Bass Titan,Energy Field,2025-05-20 20:30-22:00,87.25
104,Sonic Flux,Main Arena,2025-05-21 21:00-22:30,92.50
105,Digital Ghost,Circuit Zone,2025-05-21 22:30-00:00,96.00
106,Beyond Infinity,Crystal Valley,2025-05-21 23:00-00:30,88.75
107,Pulse Engine,Energy Field,2025-05-21 00:30-02:00,91.25
108,Beat Guardian,Main Arena,2025-05-22 20:00-21:30,89.99
109,Melody Marsh,Circuit Zone,2025-05-22 21:30-23:00,93.50
110,Frequency Zero,Energy Field,2025-05-22 23:00-00:30,90.75
111,Spectrum Light,Crystal Valley,2025-05-22 00:30-02:00,95.25
112,Techno Prophet,Laser Garden,2025-05-20 21:00-22:30,84.50
113,Rhythm King,Laser Garden,2025-05-21 01:00-02:30,86.75
114,Aurora Beats,Underground Stage,2025-05-21 22:00-23:30,82.25
115,Crystal Waves,Underground Stage,2025-05-22 01:30-03:00,83.50
